scenario,reference_scenario,output_dir,iteration,departures_sample,arrivals_sample,completion_rate,stuck_sample,vht,vmt,mean_trip_minutes,median_trip_minutes,vht_delta_vs_reference,vmt_delta_vs_reference,completed_trips_delta_vs_reference,stuck_trips_delta_vs_reference,annual_net_benefit_usd,discounted_net_benefit_usd,cost_usd,benefit_cost_ratio
pothole_baseline,fixed,D:\Projects\CitySim\scenarios\logan_square\output_baseline,10,36085.0,35413.0,0.9813773035887488,672.0,198365.29444444636,949844.0979678619,33.608894097271246,9.1,22580.169444445928,6467.34321561642,1870.0,-1870.0,,,,
fixed,fixed,D:\Projects\CitySim\scenarios\logan_square\output_fixed,10,36085.0,35226.0,0.9761950949147845,859.0,175785.12500000044,943376.7547522455,29.94125787770397,9.0,0.0,0.0,0.0,0.0,146399572.03686234,142106806.8319052,28700.0,4952.456684038509
clean_output,fixed,D:\Projects\CitySim\scenarios\logan_square\output,10,49148.0,44446.0,0.9043297794416864,4702.0,120032.53333333315,1205586.4687723615,16.203824866129686,10.35,-55752.591666667286,262209.714020116,92200.0,38430.0,,,,
bike_lane,fixed,D:\Projects\CitySim\scenarios\logan_square\output_bike_lane,10,36085.0,35282.0,0.9777469862823888,803.0,189269.9916666665,945646.6175037799,32.18694943597302,9.083333333333332,13484.866666666057,2269.8627515344415,560.0,-560.0,-81596520.40612927,-697469282.1934406,1434412.354039907,-485.2404316506857
needs1_west-north-avenue,fixed,D:\Projects\CitySim\scenarios\logan_square\output_needs1_west-north-avenue,10,36085.0,35217.0,0.9759456838021339,868.0,183435.67500000002,939494.4523979977,31.252351137234857,9.116666666666667,7650.549999999581,-3882.302354247775,-90.0,90.0,,,,
needs2_north-western-avenue,fixed,D:\Projects\CitySim\scenarios\logan_square\output_needs2_north-western-avenue,10,36085.0,35158.0,0.9743106553969794,927.0,191173.84166666667,943222.4682852114,32.625378292280566,9.133333333333333,15388.716666666238,-154.28646703413688,-680.0,680.0,,,,
needs3_west-fullerton-avenue,fixed,D:\Projects\CitySim\scenarios\logan_square\output_needs3_west-fullerton-avenue,10,36085.0,35193.0,0.9752805875017321,892.0,191512.39444444352,942684.8641434016,32.65065117116093,9.083333333333332,15727.269444443082,-691.8906088438816,-330.0,330.0,,,,
needs4_north-milwaukee-avenue,fixed,D:\Projects\CitySim\scenarios\logan_square\output_needs4_north-milwaukee-avenue,10,36085.0,35220.0,0.9760288208396841,865.0,188642.72222222295,941020.4716953005,32.1367499526784,9.049999999999999,12857.59722222251,-2356.283056944958,-60.0,60.0,,,,
needs5_west-armitage-avenue,fixed,D:\Projects\CitySim\scenarios\logan_square\output_needs5_west-armitage-avenue,10,36085.0,35207.0,0.9756685603436331,878.0,192353.2861111115,942585.8672850493,32.780973007261814,9.1,16568.161111111054,-790.8874671962112,-190.0,190.0,,,,
user_20260701_102857_3172db,fixed,D:\Projects\CitySim\scenarios\logan_square\output_user_20260701_102857_3172db,10,36085.0,34361.0,0.9522239157544686,1724.0,68816.8916666664,862641.4613656171,12.016569657460494,8.283333333333333,-106968.23333333404,-80735.29338662839,-8650.0,8650.0,,,,
